id,text,definition,length
1,Apple , A round fruit ,5
2,Accuse , To charge with wrongdoing ,6
3,Amazing , Causing great wonder or astonishment ,7
4,Acoustic , Related to sound or hearing ,8
5,Affection , A fond or tender feeling ,9
6,Adventure , An exciting or unusual experience ,10
7,Apprehension , Anxiety or fear about the future ,12
8,Announcement , A public or formal notice ,13
9,Accommodation , A place to stay or live ,14
10,Authentication , The process of confirming the truth or validity ,15
11,Banana , A curved fruit ,6
12,Breathe , To inhale and exhale air ,7
13,Beautiful , Pleasing to the senses or mind ,9
14,Beneficial , Producing good results or advantages ,11
15,Basketball , A sport played with a ball and hoop ,11
16,Blossom , The flower of a plant ,7
17,Backpacking , Traveling with a backpack ,11
18,Bewilderment , A state of confusion or puzzlement ,12
19,Brontosaurus , A type of extinct dinosaur ,12
20,Bioluminescence , The emission of light by living organisms ,15
21,Candle , A wax source of light ,6
22,Cascade , A small waterfall ,7
23,Celebrate , To observe with festivities ,8
24,Charming , Delightfully attractive or pleasing ,8
25,Cappuccino , A type of coffee ,10
26,Comprehend , To understand or grasp mentally ,10
27,Celebration , A joyful event or gathering ,11
28,Collaboration , Working together on a project ,12
29,Constellation , A group of stars forming a pattern ,13
30,Circumference , The distance around a circular object ,13
31,Dagger , A sharp knife ,6
32,Delight , A high degree of pleasure or happiness ,6
33,Discover , To find or learn something new ,8
34,Distinct , Clearly different or separate ,8
35,Dramatic , Pertaining to drama or acting ,8
36,Distraction , A diversion or interruption of attention ,11
37,Development , The process of growth or progress ,11
38,Documentation , The act of recording or providing evidence ,13
39,Demonstration , A public display or exhibition ,13
40,Differentiation , The process of becoming distinct or specialized ,15
41,Emerge , To come forth or appear ,6
42,Embrace , To hug or hold closely ,7
43,Enormous , Extremely large in size or amount ,8
44,Education , The process of acquiring knowledge or skills ,10
45,Encounter , A meeting or unexpected experience ,9
46,Extravagant , Excessive or lavish ,11
47,Elaboration , The act of adding details or complexities ,11
48,Enthusiastically , With great excitement or zeal ,15
